"Indicator","Year","Geography","Sex","AgeGroup","Location","Value","Unit","Source","DataType"
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Malaysia","Female","Not Available","Not Available","0.38","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Malaysia","Female","Not Available","Not Available","0.38","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Malaysia","Female","Not Available","Not Available","0.38","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Malaysia","Female","Not Available","Not Available","0.38","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Female","Not Available","Not Available","0.35","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Female","Not Available","Not Available","0.35","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Female","Not Available","Not Available","0.35","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Female","Not Available","Not Available","0.35","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Female","Not Available","Not Available","0.35","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Female","Not Available","Not Available","0.35","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Female","Not Available","Not Available","0.35","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Female","Not Available","Not Available","0.35","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Both Sexes","Not Available","Not Available","0.49","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Both Sexes","Not Available","Not Available","0.49","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Both Sexes","Not Available","Not Available","0.49","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Both Sexes","Not Available","Not Available","0.49","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Both Sexes","Not Available","Not Available","0.49","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Both Sexes","Not Available","Not Available","0.49","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Both Sexes","Not Available","Not Available","0.49","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Both Sexes","Not Available","Not Available","0.49","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Male","Not Available","Not Available","0.62","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Male","Not Available","Not Available","0.62","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Male","Not Available","Not Available","0.62","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Male","Not Available","Not Available","0.62","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Male","Not Available","Not Available","0.62","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Male","Not Available","Not Available","0.62","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Male","Not Available","Not Available","0.62","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Malaysia","Male","Not Available","Not Available","0.62","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Both Sexes","Not Available","Not Available","0.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Both Sexes","Not Available","Not Available","0.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Both Sexes","Not Available","Not Available","0.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Both Sexes","Not Available","Not Available","0.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Both Sexes","Not Available","Not Available","0.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Both Sexes","Not Available","Not Available","0.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Both Sexes","Not Available","Not Available","0.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Both Sexes","Not Available","Not Available","0.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Female","Not Available","Not Available","0.14","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Female","Not Available","Not Available","0.14","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Female","Not Available","Not Available","0.14","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Female","Not Available","Not Available","0.14","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Female","Not Available","Not Available","0.14","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Female","Not Available","Not Available","0.14","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Female","Not Available","Not Available","0.14","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Female","Not Available","Not Available","0.14","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Male","Not Available","Not Available","0.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Male","Not Available","Not Available","0.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Male","Not Available","Not Available","0.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Male","Not Available","Not Available","0.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Male","Not Available","Not Available","0.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Male","Not Available","Not Available","0.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Male","Not Available","Not Available","0.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Maldives","Male","Not Available","Not Available","0.15","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Female","Not Available","Not Available","0.08","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Female","Not Available","Not Available","0.08","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Female","Not Available","Not Available","0.08","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Female","Not Available","Not Available","0.08","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Female","Not Available","Not Available","0.08","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Female","Not Available","Not Available","0.08","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Female","Not Available","Not Available","0.08","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Female","Not Available","Not Available","0.08","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Both Sexes","Not Available","Not Available","0.08","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Both Sexes","Not Available","Not Available","0.08","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Both Sexes","Not Available","Not Available","0.08","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Both Sexes","Not Available","Not Available","0.08","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Both Sexes","Not Available","Not Available","0.08","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Both Sexes","Not Available","Not Available","0.08","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Both Sexes","Not Available","Not Available","0.08","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Both Sexes","Not Available","Not Available","0.08","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Male","Not Available","Not Available","0.09","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Male","Not Available","Not Available","0.09","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Male","Not Available","Not Available","0.09","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Male","Not Available","Not Available","0.09","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Male","Not Available","Not Available","0.09","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Male","Not Available","Not Available","0.09","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Male","Not Available","Not Available","0.09","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Maldives","Male","Not Available","Not Available","0.09","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Male","Not Available","Not Available","0.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Male","Not Available","Not Available","0.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Male","Not Available","Not Available","0.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Male","Not Available","Not Available","0.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Male","Not Available","Not Available","0.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Male","Not Available","Not Available","0.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Male","Not Available","Not Available","0.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Male","Not Available","Not Available","0.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Female","Not Available","Not Available","0.07","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Female","Not Available","Not Available","0.07","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Female","Not Available","Not Available","0.07","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Female","Not Available","Not Available","0.07","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Female","Not Available","Not Available","0.07","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Female","Not Available","Not Available","0.07","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Female","Not Available","Not Available","0.07","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Female","Not Available","Not Available","0.07","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Both Sexes","Not Available","Not Available","0.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Both Sexes","Not Available","Not Available","0.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Both Sexes","Not Available","Not Available","0.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Both Sexes","Not Available","Not Available","0.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Both Sexes","Not Available","Not Available","0.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Both Sexes","Not Available","Not Available","0.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Both Sexes","Not Available","Not Available","0.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Maldives","Both Sexes","Not Available","Not Available","0.06","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Female","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Female","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Female","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Female","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Female","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Female","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Female","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Female","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Both Sexes","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Both Sexes","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Both Sexes","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Both Sexes","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Both Sexes","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Both Sexes","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Both Sexes","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Both Sexes","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Male","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Male","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Male","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Male","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Male","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Male","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Male","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Maldives","Male","Not Available","Not Available","0.05","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Both Sexes","Not Available","Not Available","4.1","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Both Sexes","Not Available","Not Available","4.1","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Both Sexes","Not Available","Not Available","4.1","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Both Sexes","Not Available","Not Available","4.1","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Both Sexes","Not Available","Not Available","4.1","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Both Sexes","Not Available","Not Available","4.1","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Both Sexes","Not Available","Not Available","4.1","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Both Sexes","Not Available","Not Available","4.1","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Male","Not Available","Not Available","5.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Male","Not Available","Not Available","5.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Male","Not Available","Not Available","5.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Male","Not Available","Not Available","5.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Male","Not Available","Not Available","5.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Male","Not Available","Not Available","5.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Male","Not Available","Not Available","5.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Male","Not Available","Not Available","5.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Female","Not Available","Not Available","2.77","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Female","Not Available","Not Available","2.77","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Female","Not Available","Not Available","2.77","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Female","Not Available","Not Available","2.77","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Female","Not Available","Not Available","2.77","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Female","Not Available","Not Available","2.77","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Female","Not Available","Not Available","2.77","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Mali","Female","Not Available","Not Available","2.77","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Male","Not Available","Not Available","4.73","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Male","Not Available","Not Available","4.73","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Male","Not Available","Not Available","4.73","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Male","Not Available","Not Available","4.73","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Male","Not Available","Not Available","4.73","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Male","Not Available","Not Available","4.73","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Male","Not Available","Not Available","4.73","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Male","Not Available","Not Available","4.73","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Female","Not Available","Not Available","2.55","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Female","Not Available","Not Available","2.55","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Female","Not Available","Not Available","2.55","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Female","Not Available","Not Available","2.55","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Female","Not Available","Not Available","2.55","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Female","Not Available","Not Available","2.55","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Female","Not Available","Not Available","2.55","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Female","Not Available","Not Available","2.55","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Both Sexes","Not Available","Not Available","3.64","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Both Sexes","Not Available","Not Available","3.64","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Both Sexes","Not Available","Not Available","3.64","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Both Sexes","Not Available","Not Available","3.64","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Both Sexes","Not Available","Not Available","3.64","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Both Sexes","Not Available","Not Available","3.64","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Both Sexes","Not Available","Not Available","3.64","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Mali","Both Sexes","Not Available","Not Available","3.64","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Mali","Female","Not Available","Not Available","2.81","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Mali","Female","Not Available","Not Available","2.81","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Mali","Female","Not Available","Not Available","2.81","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Mali","Female","Not Available","Not Available","2.81","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Mali","Female","Not Available","Not Available","2.81","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Mali","Female","Not Available","Not Available","2.81","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Mali","Female","Not Available","Not Available","2.81","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Mali","Female","Not Available","Not Available","2.81","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Mali","Both Sexes","Not Available","Not Available","3.9","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Mali","Both Sexes","Not Available","Not Available","3.9","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Mali","Both Sexes","Not Available","Not Available","3.9","Rate (per 100,000 population)","Global Health Observatory",""
